#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   538    0.24468E+04   -0.13596E+02    0.52458E-08   -0.13596E+02    0.64400E+01    0.38491E-09    0.52458E-08    0.38491E-09    0.54090E-13
   539    0.24465E+04   -0.12364E+02    0.52420E-08   -0.12364E+02    0.64981E+01    0.35655E-09    0.52420E-08    0.35655E-09    0.53730E-13
   540    0.24459E+04   -0.11136E+02    0.52404E-08   -0.11136E+02    0.65614E+01    0.32839E-09    0.52404E-08    0.32839E-09    0.53373E-13
   541    0.24451E+04   -0.99135E+01    0.52410E-08   -0.99135E+01    0.66295E+01    0.30041E-09    0.52410E-08    0.30041E-09    0.53019E-13
   542    0.24441E+04   -0.86981E+01    0.52436E-08   -0.86981E+01    0.67026E+01    0.27261E-09    0.52436E-08    0.27261E-09    0.52668E-13
   543    0.24429E+04   -0.74894E+01    0.52483E-08   -0.74894E+01    0.67808E+01    0.24498E-09    0.52483E-08    0.24498E-09    0.52319E-13
   544    0.24415E+04   -0.62883E+01    0.52549E-08   -0.62883E+01    0.68640E+01    0.21750E-09    0.52549E-08    0.21750E-09    0.51974E-13
   545    0.24398E+04   -0.50954E+01    0.52635E-08   -0.50954E+01    0.69521E+01    0.19017E-09    0.52635E-08    0.19017E-09    0.51631E-13
   546    0.24380E+04   -0.39117E+01    0.52741E-08   -0.39117E+01    0.70449E+01    0.16298E-09    0.52741E-08    0.16298E-09    0.51292E-13
   547    0.24359E+04   -0.27374E+01    0.52865E-08   -0.27374E+01    0.71427E+01    0.13592E-09    0.52865E-08    0.13592E-09    0.50954E-13
   548    0.24336E+04   -0.15735E+01    0.53007E-08   -0.15735E+01    0.72454E+01    0.10899E-09    0.53007E-08    0.10899E-09    0.50620E-13
   549    0.24312E+04   -0.42076E+00    0.53167E-08   -0.42076E+00    0.73531E+01    0.82158E-10    0.53167E-08    0.82158E-10    0.50288E-13
   550    0.24285E+04    0.72036E+00    0.53345E-08    0.72036E+00    0.74657E+01    0.55433E-10    0.53345E-08    0.55433E-10    0.49959E-13
   551    0.24257E+04    0.18493E+01    0.53540E-08    0.18493E+01    0.75833E+01    0.28803E-10    0.53540E-08    0.28803E-10    0.49632E-13
   552    0.24225E+04    0.29649E+01    0.53752E-08    0.29649E+01    0.77058E+01    0.22688E-11    0.53752E-08    0.22688E-11    0.49309E-13
   553    0.24193E+04    0.40670E+01    0.53980E-08    0.40670E+01    0.78318E+01   -0.24166E-10    0.53980E-08   -0.24166E-10    0.48987E-13
   554    0.24158E+04    0.51548E+01    0.54225E-08    0.51548E+01    0.79643E+01   -0.50497E-10    0.54225E-08   -0.50497E-10    0.48668E-13
   555    0.24121E+04    0.62275E+01    0.54485E-08    0.62275E+01    0.81009E+01   -0.76722E-10    0.54485E-08   -0.76722E-10    0.48352E-13
   556    0.24082E+04    0.72849E+01    0.54762E-08    0.72849E+01    0.82426E+01   -0.10284E-09    0.54762E-08   -0.10284E-09    0.48038E-13
   557    0.24042E+04    0.83253E+01    0.55054E-08    0.83253E+01    0.83885E+01   -0.12884E-09    0.55054E-08   -0.12884E-09    0.47727E-13
   558    0.23999E+04    0.93492E+01    0.55361E-08    0.93492E+01    0.85401E+01   -0.15473E-09    0.55361E-08   -0.15473E-09    0.47418E-13
   559    0.23954E+04    0.10356E+02    0.55683E-08    0.10356E+02    0.86952E+01   -0.18049E-09    0.55683E-08   -0.18049E-09    0.47111E-13
   560    0.23909E+04    0.11344E+02    0.56020E-08    0.11344E+02    0.88546E+01   -0.20614E-09    0.56020E-08   -0.20614E-09    0.46807E-13
   561    0.23860E+04    0.12313E+02    0.56371E-08    0.12313E+02    0.90190E+01   -0.23165E-09    0.56371E-08   -0.23165E-09    0.46506E-13
   562    0.23811E+04    0.13264E+02    0.56737E-08    0.13264E+02    0.91884E+01   -0.25704E-09    0.56737E-08   -0.25704E-09    0.46207E-13
   563    0.23759E+04    0.14196E+02    0.57116E-08    0.14196E+02    0.93613E+01   -0.28230E-09    0.57116E-08   -0.28230E-09    0.45910E-13
   564    0.23707E+04    0.15105E+02    0.57510E-08    0.15105E+02    0.95400E+01   -0.30741E-09    0.57510E-08   -0.30741E-09    0.45615E-13
   565    0.23652E+04    0.15995E+02    0.57916E-08    0.15995E+02    0.97215E+01   -0.33239E-09    0.57916E-08   -0.33239E-09    0.45323E-13
   566    0.23596E+04    0.16862E+02    0.58336E-08    0.16862E+02    0.99080E+01   -0.35723E-09    0.58336E-08   -0.35723E-09    0.45033E-13
   567    0.23538E+04    0.17708E+02    0.58769E-08    0.17708E+02    0.10098E+02   -0.38191E-09    0.58769E-08   -0.38191E-09    0.44746E-13
   568    0.23479E+04    0.18530E+02    0.59214E-08    0.18530E+02    0.10293E+02   -0.40645E-09    0.59214E-08   -0.40645E-09    0.44461E-13
   569    0.23417E+04    0.19332E+02    0.59672E-08    0.19332E+02    0.10493E+02   -0.43084E-09    0.59672E-08   -0.43084E-09    0.44178E-13
   570    0.23355E+04    0.20108E+02    0.60142E-08    0.20108E+02    0.10696E+02   -0.45507E-09    0.60142E-08   -0.45507E-09    0.43897E-13
   571    0.23291E+04    0.20860E+02    0.60624E-08    0.20860E+02    0.10903E+02   -0.47914E-09    0.60624E-08   -0.47914E-09    0.43618E-13
   572    0.23225E+04    0.21589E+02    0.61117E-08    0.21589E+02    0.11114E+02   -0.50304E-09    0.61117E-08   -0.50304E-09    0.43342E-13
   573    0.23158E+04    0.22291E+02    0.61622E-08    0.22291E+02    0.11328E+02   -0.52678E-09    0.61622E-08   -0.52678E-09    0.43068E-13
   574    0.23091E+04    0.22969E+02    0.62138E-08    0.22969E+02    0.11547E+02   -0.55035E-09    0.62138E-08   -0.55035E-09    0.42796E-13
   575    0.23021E+04    0.23620E+02    0.62664E-08    0.23620E+02    0.11769E+02   -0.57374E-09    0.62664E-08   -0.57374E-09    0.42526E-13
   576    0.22951E+04    0.24246E+02    0.63202E-08    0.24246E+02    0.11995E+02   -0.59696E-09    0.63202E-08   -0.59696E-09    0.42258E-13
   577    0.22879E+04    0.24845E+02    0.63749E-08    0.24845E+02    0.12225E+02   -0.62000E-09    0.63749E-08   -0.62000E-09    0.41993E-13
   578    0.22806E+04    0.25417E+02    0.64307E-08    0.25417E+02    0.12457E+02   -0.64286E-09    0.64307E-08   -0.64286E-09    0.41729E-13
   579    0.22732E+04    0.25962E+02    0.64874E-08    0.25962E+02    0.12694E+02   -0.66552E-09    0.64874E-08   -0.66552E-09    0.41468E-13
   580    0.22657E+04    0.26478E+02    0.65451E-08    0.26478E+02    0.12934E+02   -0.68800E-09    0.65451E-08   -0.68800E-09    0.41208E-13
   581    0.22580E+04    0.26968E+02    0.66038E-08    0.26968E+02    0.13176E+02   -0.71029E-09    0.66038E-08   -0.71029E-09    0.40951E-13
   582    0.22502E+04    0.27428E+02    0.66633E-08    0.27428E+02    0.13423E+02   -0.73238E-09    0.66633E-08   -0.73238E-09    0.40695E-13
   583    0.22424E+04    0.27859E+02    0.67237E-08    0.27859E+02    0.13672E+02   -0.75426E-09    0.67237E-08   -0.75426E-09    0.40442E-13
   584    0.22345E+04    0.28262E+02    0.67849E-08    0.28262E+02    0.13924E+02   -0.77595E-09    0.67849E-08   -0.77595E-09    0.40191E-13
   585    0.22265E+04    0.28635E+02    0.68470E-08    0.28635E+02    0.14179E+02   -0.79743E-09    0.68470E-08   -0.79743E-09    0.39941E-13
   586    0.22184E+04    0.28979E+02    0.69099E-08    0.28979E+02    0.14436E+02   -0.81869E-09    0.69099E-08   -0.81869E-09    0.39694E-13
   587    0.22103E+04    0.29293E+02    0.69735E-08    0.29293E+02    0.14697E+02   -0.83975E-09    0.69735E-08   -0.83975E-09    0.39448E-13
   588    0.22020E+04    0.29575E+02    0.70379E-08    0.29575E+02    0.14960E+02   -0.86058E-09    0.70379E-08   -0.86058E-09    0.39204E-13
   589    0.21936E+04    0.29829E+02    0.71030E-08    0.29829E+02    0.15226E+02   -0.88120E-09    0.71030E-08   -0.88120E-09    0.38962E-13
   590    0.21852E+04    0.30052E+02    0.71688E-08    0.30052E+02    0.15493E+02   -0.90159E-09    0.71688E-08   -0.90159E-09    0.38722E-13
   591    0.21768E+04    0.30243E+02    0.72353E-08    0.30243E+02    0.15765E+02   -0.92176E-09    0.72353E-08   -0.92176E-09    0.38484E-13
   592    0.21683E+04    0.30403E+02    0.73024E-08    0.30403E+02    0.16036E+02   -0.94169E-09    0.73024E-08   -0.94169E-09    0.38248E-13
   593    0.21597E+04    0.30534E+02    0.73701E-08    0.30534E+02    0.16312E+02   -0.96139E-09    0.73701E-08   -0.96139E-09    0.38013E-13
   594    0.21510E+04    0.30632E+02    0.74385E-08    0.30632E+02    0.16589E+02   -0.98086E-09    0.74385E-08   -0.98086E-09    0.37780E-13
   595    0.21422E+04    0.30699E+02    0.75073E-08    0.30699E+02    0.16867E+02   -0.10001E-08    0.75073E-08   -0.10001E-08    0.37549E-13
   596    0.21336E+04    0.30734E+02    0.75768E-08    0.30734E+02    0.17148E+02   -0.10191E-08    0.75768E-08   -0.10191E-08    0.37320E-13
   597    0.21248E+04    0.30738E+02    0.76467E-08    0.30738E+02    0.17429E+02   -0.10378E-08    0.76467E-08   -0.10378E-08    0.37092E-13
   598    0.21162E+04    0.30711E+02    0.77171E-08    0.30711E+02    0.17713E+02   -0.10563E-08    0.77171E-08   -0.10563E-08    0.36867E-13
   599    0.21075E+04    0.30652E+02    0.77880E-08    0.30652E+02    0.17998E+02   -0.10745E-08    0.77880E-08   -0.10745E-08    0.36642E-13
   600    0.20986E+04    0.30561E+02    0.78593E-08    0.30561E+02    0.18285E+02   -0.10925E-08    0.78593E-08   -0.10925E-08    0.36420E-13
   601    0.20898E+04    0.30438E+02    0.79310E-08    0.30438E+02    0.18573E+02   -0.11102E-08    0.79310E-08   -0.11102E-08    0.36199E-13
   602    0.20810E+04    0.30282E+02    0.80031E-08    0.30282E+02    0.18861E+02   -0.11276E-08    0.80031E-08   -0.11276E-08    0.35980E-13
   603    0.20720E+04    0.30097E+02    0.80756E-08    0.30097E+02    0.19152E+02   -0.11448E-08    0.80756E-08   -0.11448E-08    0.35762E-13
   604    0.20633E+04    0.29878E+02    0.81485E-08    0.29878E+02    0.19443E+02   -0.11618E-08    0.81485E-08   -0.11618E-08    0.35546E-13
   605    0.20544E+04    0.29628E+02    0.82216E-08    0.29628E+02    0.19734E+02   -0.11784E-08    0.82216E-08   -0.11784E-08    0.35332E-13
   606    0.20456E+04    0.29346E+02    0.82951E-08    0.29346E+02    0.20026E+02   -0.11949E-08    0.82951E-08   -0.11949E-08    0.35119E-13
   607    0.20366E+04    0.29032E+02    0.83689E-08    0.29032E+02    0.20319E+02   -0.12110E-08    0.83689E-08   -0.12110E-08    0.34908E-13
   608    0.20278E+04    0.28686E+02    0.84430E-08    0.28686E+02    0.20613E+02   -0.12269E-08    0.84430E-08   -0.12269E-08    0.34698E-13
   609    0.20191E+04    0.28308E+02    0.85173E-08    0.28308E+02    0.20907E+02   -0.12426E-08    0.85173E-08   -0.12426E-08    0.34490E-13
   610    0.20103E+04    0.27898E+02    0.85919E-08    0.27898E+02    0.21200E+02   -0.12579E-08    0.85919E-08   -0.12579E-08    0.34283E-13
   611    0.20016E+04    0.27456E+02    0.86667E-08    0.27456E+02    0.21494E+02   -0.12731E-08    0.86667E-08   -0.12731E-08    0.34078E-13
   612    0.19929E+04    0.26985E+02    0.87417E-08    0.26985E+02    0.21789E+02   -0.12880E-08    0.87417E-08   -0.12880E-08    0.33875E-13
   613    0.19842E+04    0.26480E+02    0.88169E-08    0.26480E+02    0.22081E+02   -0.13026E-08    0.88169E-08   -0.13026E-08    0.33673E-13
   614    0.19756E+04    0.25944E+02    0.88923E-08    0.25944E+02    0.22375E+02   -0.13169E-08    0.88923E-08   -0.13169E-08    0.33472E-13
   615    0.19670E+04    0.25377E+02    0.89679E-08    0.25377E+02    0.22667E+02   -0.13311E-08    0.89679E-08   -0.13311E-08    0.33273E-13
   616    0.19584E+04    0.24779E+02    0.90435E-08    0.24779E+02    0.22960E+02   -0.13449E-08    0.90435E-08   -0.13449E-08    0.33076E-13
   617    0.19500E+04    0.24151E+02    0.91193E-08    0.24151E+02    0.23253E+02   -0.13585E-08    0.91193E-08   -0.13585E-08    0.32880E-13
   618    0.19416E+04    0.23491E+02    0.91952E-08    0.23491E+02    0.23545E+02   -0.13719E-08    0.91952E-08   -0.13719E-08    0.32685E-13
   619    0.19332E+04    0.22803E+02    0.92712E-08    0.22803E+02    0.23837E+02   -0.13850E-08    0.92712E-08   -0.13850E-08    0.32492E-13
   620    0.19250E+04    0.22084E+02    0.93473E-08    0.22084E+02    0.24126E+02   -0.13978E-08    0.93473E-08   -0.13978E-08    0.32300E-13
   621    0.19167E+04    0.21335E+02    0.94234E-08    0.21335E+02    0.24416E+02   -0.14104E-08    0.94234E-08   -0.14104E-08    0.32110E-13
   622    0.19086E+04    0.20555E+02    0.94995E-08    0.20555E+02    0.24704E+02   -0.14227E-08    0.94995E-08   -0.14227E-08    0.31921E-13
   623    0.19006E+04    0.19748E+02    0.95757E-08    0.19748E+02    0.24990E+02   -0.14348E-08    0.95757E-08   -0.14348E-08    0.31733E-13
   624    0.18926E+04    0.18911E+02    0.96518E-08    0.18911E+02    0.25274E+02   -0.14467E-08    0.96518E-08   -0.14467E-08    0.31547E-13
   625    0.18847E+04    0.18045E+02    0.97279E-08    0.18045E+02    0.25558E+02   -0.14583E-08    0.97279E-08   -0.14583E-08    0.31362E-13
   626    0.18769E+04    0.17151E+02    0.98040E-08    0.17151E+02    0.25840E+02   -0.14696E-08    0.98040E-08   -0.14696E-08    0.31179E-13
   627    0.18692E+04    0.16228E+02    0.98800E-08    0.16228E+02    0.26120E+02   -0.14807E-08    0.98800E-08   -0.14807E-08    0.30996E-13
   628    0.18616E+04    0.15278E+02    0.99559E-08    0.15278E+02    0.26398E+02   -0.14915E-08    0.99559E-08   -0.14915E-08    0.30816E-13
   629    0.18542E+04    0.14300E+02    0.10032E-07    0.14300E+02    0.26674E+02   -0.15021E-08    0.10032E-07   -0.15021E-08    0.30636E-13
   630    0.18467E+04    0.13294E+02    0.10107E-07    0.13294E+02    0.26948E+02   -0.15125E-08    0.10107E-07   -0.15125E-08    0.30458E-13
   631    0.18394E+04    0.12263E+02    0.10183E-07    0.12263E+02    0.27220E+02   -0.15226E-08    0.10183E-07   -0.15226E-08    0.30281E-13
   632    0.18323E+04    0.11204E+02    0.10259E-07    0.11204E+02    0.27489E+02   -0.15324E-08    0.10259E-07   -0.15324E-08    0.30106E-13
   633    0.18252E+04    0.10121E+02    0.10334E-07    0.10121E+02    0.27757E+02   -0.15420E-08    0.10334E-07   -0.15420E-08    0.29931E-13
   634    0.18183E+04    0.90114E+01    0.10409E-07    0.90114E+01    0.28020E+02   -0.15514E-08    0.10409E-07   -0.15514E-08    0.29758E-13
   635    0.18115E+04    0.78772E+01    0.10484E-07    0.78772E+01    0.28283E+02   -0.15605E-08    0.10484E-07   -0.15605E-08    0.29586E-13
   636    0.18048E+04    0.67188E+01    0.10558E-07    0.67188E+01    0.28543E+02   -0.15694E-08    0.10558E-07   -0.15694E-08    0.29416E-13
   637    0.17982E+04    0.55353E+01    0.10633E-07    0.55353E+01    0.28798E+02   -0.15780E-08    0.10633E-07   -0.15780E-08    0.29247E-13
   638    0.17918E+04    0.43291E+01    0.10707E-07    0.43291E+01    0.29053E+02   -0.15864E-08    0.10707E-07   -0.15864E-08    0.29078E-13
   639    0.17855E+04    0.30991E+01    0.10781E-07    0.30991E+01    0.29303E+02   -0.15945E-08    0.10781E-07   -0.15945E-08    0.28912E-13
   640    0.17794E+04    0.18468E+01    0.10855E-07    0.18468E+01    0.29551E+02   -0.16024E-08    0.10855E-07   -0.16024E-08    0.28746E-13
   641    0.17734E+04    0.57225E+00    0.10928E-07    0.57225E+00    0.29795E+02   -0.16100E-08    0.10928E-07   -0.16100E-08    0.28581E-13
   642    0.17675E+04   -0.72390E+00    0.11001E-07   -0.72390E+00    0.30036E+02   -0.16175E-08    0.11001E-07   -0.16175E-08    0.28418E-13
   643    0.17618E+04   -0.20411E+01    0.11073E-07   -0.20411E+01    0.30274E+02   -0.16246E-08    0.11073E-07   -0.16246E-08    0.28256E-13
   644    0.17563E+04   -0.33789E+01    0.11146E-07   -0.33789E+01    0.30507E+02   -0.16315E-08    0.11146E-07   -0.16315E-08    0.28095E-13
   645    0.17508E+04   -0.47368E+01    0.11218E-07   -0.47368E+01    0.30737E+02   -0.16382E-08    0.11218E-07   -0.16382E-08    0.27935E-13
   646    0.17455E+04   -0.61143E+01    0.11289E-07   -0.61143E+01    0.30963E+02   -0.16447E-08    0.11289E-07   -0.16447E-08    0.27776E-13
   647    0.17405E+04   -0.75112E+01    0.11360E-07   -0.75112E+01    0.31186E+02   -0.16509E-08    0.11360E-07   -0.16509E-08    0.27619E-13
   648    0.17355E+04   -0.89256E+01    0.11431E-07   -0.89256E+01    0.31405E+02   -0.16568E-08    0.11431E-07   -0.16568E-08    0.27462E-13
   649    0.17307E+04   -0.10358E+02    0.11501E-07   -0.10358E+02    0.31619E+02   -0.16625E-08    0.11501E-07   -0.16625E-08    0.27307E-13
   650    0.17261E+04   -0.11808E+02    0.11570E-07   -0.11808E+02    0.31829E+02   -0.16680E-08    0.11570E-07   -0.16680E-08    0.27152E-13
   651    0.17217E+04   -0.13275E+02    0.11640E-07   -0.13275E+02    0.32037E+02   -0.16733E-08    0.11640E-07   -0.16733E-08    0.26999E-13
   652    0.17174E+04   -0.14757E+02    0.11708E-07   -0.14757E+02    0.32239E+02   -0.16783E-08    0.11708E-07   -0.16783E-08    0.26847E-13
   653    0.17133E+04   -0.16255E+02    0.11777E-07   -0.16255E+02    0.32436E+02   -0.16830E-08    0.11777E-07   -0.16830E-08    0.26696E-13
   654    0.17093E+04   -0.17766E+02    0.11844E-07   -0.17766E+02    0.32630E+02   -0.16876E-08    0.11844E-07   -0.16876E-08    0.26545E-13
   655    0.17055E+04   -0.19292E+02    0.11911E-07   -0.19292E+02    0.32819E+02   -0.16919E-08    0.11911E-07   -0.16919E-08    0.26396E-13
   656    0.17020E+04   -0.20832E+02    0.11978E-07   -0.20832E+02    0.33003E+02   -0.16959E-08    0.11978E-07   -0.16959E-08    0.26248E-13
   657    0.16985E+04   -0.22384E+02    0.12044E-07   -0.22384E+02    0.33183E+02   -0.16998E-08    0.12044E-07   -0.16998E-08    0.26101E-13
   658    0.16952E+04   -0.23948E+02    0.12110E-07   -0.23948E+02    0.33358E+02   -0.17034E-08    0.12110E-07   -0.17034E-08    0.25955E-13
   659    0.16922E+04   -0.25523E+02    0.12175E-07   -0.25523E+02    0.33529E+02   -0.17068E-08    0.12175E-07   -0.17068E-08    0.25810E-13
   660    0.16894E+04   -0.27109E+02    0.12239E-07   -0.27109E+02    0.33694E+02   -0.17099E-08    0.12239E-07   -0.17099E-08    0.25666E-13
   661    0.16866E+04   -0.28704E+02    0.12303E-07   -0.28704E+02    0.33854E+02   -0.17129E-08    0.12303E-07   -0.17129E-08    0.25523E-13
   662    0.16841E+04   -0.30310E+02    0.12366E-07   -0.30310E+02    0.34010E+02   -0.17156E-08    0.12366E-07   -0.17156E-08    0.25381E-13
   663    0.16818E+04   -0.31925E+02    0.12429E-07   -0.31925E+02    0.34161E+02   -0.17181E-08    0.12429E-07   -0.17181E-08    0.25240E-13
   664    0.16796E+04   -0.33547E+02    0.12491E-07   -0.33547E+02    0.34306E+02   -0.17203E-08    0.12491E-07   -0.17203E-08    0.25100E-13
   665    0.16776E+04   -0.35176E+02    0.12552E-07   -0.35176E+02    0.34445E+02   -0.17224E-08    0.12552E-07   -0.17224E-08    0.24961E-13
   666    0.16759E+04   -0.36812E+02    0.12613E-07   -0.36812E+02    0.34580E+02   -0.17242E-08    0.12613E-07   -0.17242E-08    0.24823E-13
   667    0.16743E+04   -0.38455E+02    0.12674E-07   -0.38455E+02    0.34710E+02   -0.17258E-08    0.12674E-07   -0.17258E-08    0.24686E-13
   668    0.16728E+04   -0.40102E+02    0.12733E-07   -0.40102E+02    0.34834E+02   -0.17272E-08    0.12733E-07   -0.17272E-08    0.24549E-13
   669    0.16716E+04   -0.41755E+02    0.12792E-07   -0.41755E+02    0.34953E+02   -0.17284E-08    0.12792E-07   -0.17284E-08    0.24414E-13
   670    0.16705E+04   -0.43409E+02    0.12851E-07   -0.43409E+02    0.35066E+02   -0.17294E-08    0.12851E-07   -0.17294E-08    0.24280E-13
   671    0.16697E+04   -0.45068E+02    0.12908E-07   -0.45068E+02    0.35175E+02   -0.17302E-08    0.12908E-07   -0.17302E-08    0.24146E-13
   672    0.16690E+04   -0.46730E+02    0.12965E-07   -0.46730E+02    0.35277E+02   -0.17307E-08    0.12965E-07   -0.17307E-08    0.24014E-13
   673    0.16686E+04   -0.48393E+02    0.13022E-07   -0.48393E+02    0.35374E+02   -0.17311E-08    0.13022E-07   -0.17311E-08    0.23882E-13
   674    0.16683E+04   -0.50057E+02    0.13078E-07   -0.50057E+02    0.35466E+02   -0.17312E-08    0.13078E-07   -0.17312E-08    0.23752E-13
   675    0.16682E+04   -0.51721E+02    0.13133E-07   -0.51721E+02    0.35552E+02   -0.17312E-08    0.13133E-07   -0.17312E-08    0.23622E-13
   676    0.16683E+04   -0.53384E+02    0.13187E-07   -0.53384E+02    0.35632E+02   -0.17309E-08    0.13187E-07   -0.17309E-08    0.23493E-13
   677    0.16685E+04   -0.55047E+02    0.13241E-07   -0.55047E+02    0.35706E+02   -0.17305E-08    0.13241E-07   -0.17305E-08    0.23365E-13
   678    0.16690E+04   -0.56708E+02    0.13294E-07   -0.56708E+02    0.35774E+02   -0.17298E-08    0.13294E-07   -0.17298E-08    0.23238E-13
   679    0.16696E+04   -0.58366E+02    0.13346E-07   -0.58366E+02    0.35837E+02   -0.17289E-08    0.13346E-07   -0.17289E-08    0.23111E-13
   680    0.16706E+04   -0.60021E+02    0.13398E-07   -0.60021E+02    0.35895E+02   -0.17279E-08    0.13398E-07   -0.17279E-08    0.22986E-13
   681    0.16716E+04   -0.61671E+02    0.13449E-07   -0.61671E+02    0.35946E+02   -0.17266E-08    0.13449E-07   -0.17266E-08    0.22861E-13
   682    0.16728E+04   -0.63318E+02    0.13499E-07   -0.63318E+02    0.35991E+02   -0.17252E-08    0.13499E-07   -0.17252E-08    0.22738E-13
   683    0.16743E+04   -0.64961E+02    0.13548E-07   -0.64961E+02    0.36031E+02   -0.17235E-08    0.13548E-07   -0.17235E-08    0.22615E-13
   684    0.16759E+04   -0.66597E+02    0.13597E-07   -0.66597E+02    0.36064E+02   -0.17217E-08    0.13597E-07   -0.17217E-08    0.22493E-13
   685    0.16776E+04   -0.68227E+02    0.13645E-07   -0.68227E+02    0.36092E+02   -0.17197E-08    0.13645E-07   -0.17197E-08    0.22372E-13
   686    0.16795E+04   -0.69841E+02    0.13692E-07   -0.69841E+02    0.36114E+02   -0.17175E-08    0.13692E-07   -0.17175E-08    0.22251E-13
   687    0.16817E+04   -0.71452E+02    0.13738E-07   -0.71452E+02    0.36130E+02   -0.17151E-08    0.13738E-07   -0.17151E-08    0.22131E-13
   688    0.16840E+04   -0.73056E+02    0.13784E-07   -0.73056E+02    0.36140E+02   -0.17125E-08    0.13784E-07   -0.17125E-08    0.22013E-13
   689    0.16865E+04   -0.74647E+02    0.13828E-07   -0.74647E+02    0.36144E+02   -0.17097E-08    0.13828E-07   -0.17097E-08    0.21895E-13
   690    0.16891E+04   -0.76231E+02    0.13872E-07   -0.76231E+02    0.36143E+02   -0.17068E-08    0.13872E-07   -0.17068E-08    0.21777E-13
   691    0.16920E+04   -0.77802E+02    0.13916E-07   -0.77802E+02    0.36134E+02   -0.17037E-08    0.13916E-07   -0.17037E-08    0.21661E-13
   692    0.16950E+04   -0.79359E+02    0.13958E-07   -0.79359E+02    0.36121E+02   -0.17003E-08    0.13958E-07   -0.17003E-08    0.21545E-13
   693    0.16982E+04   -0.80910E+02    0.14000E-07   -0.80910E+02    0.36101E+02   -0.16969E-08    0.14000E-07   -0.16969E-08    0.21431E-13
   694    0.17015E+04   -0.82441E+02    0.14040E-07   -0.82441E+02    0.36075E+02   -0.16932E-08    0.14040E-07   -0.16932E-08    0.21316E-13
   695    0.17051E+04   -0.83958E+02    0.14080E-07   -0.83958E+02    0.36045E+02   -0.16893E-08    0.14080E-07   -0.16893E-08    0.21203E-13
   696    0.17088E+04   -0.85476E+02    0.14119E-07   -0.85476E+02    0.36008E+02   -0.16853E-08    0.14119E-07   -0.16853E-08    0.21090E-13
   697    0.17126E+04   -0.86967E+02    0.14158E-07   -0.86967E+02    0.35965E+02   -0.16811E-08    0.14158E-07   -0.16811E-08    0.20978E-13
   698    0.17166E+04   -0.88444E+02    0.14195E-07   -0.88444E+02    0.35916E+02   -0.16768E-08    0.14195E-07   -0.16768E-08    0.20867E-13
   699    0.17208E+04   -0.89900E+02    0.14231E-07   -0.89900E+02    0.35862E+02   -0.16722E-08    0.14231E-07   -0.16722E-08    0.20757E-13
   700    0.17252E+04   -0.91343E+02    0.14267E-07   -0.91343E+02    0.35802E+02   -0.16675E-08    0.14267E-07   -0.16675E-08    0.20647E-13
   701    0.17297E+04   -0.92773E+02    0.14302E-07   -0.92773E+02    0.35736E+02   -0.16627E-08    0.14302E-07   -0.16627E-08    0.20538E-13
   702    0.17343E+04   -0.94175E+02    0.14336E-07   -0.94175E+02    0.35665E+02   -0.16576E-08    0.14336E-07   -0.16576E-08    0.20430E-13
   703    0.17391E+04   -0.95578E+02    0.14369E-07   -0.95578E+02    0.35587E+02   -0.16525E-08    0.14369E-07   -0.16525E-08    0.20322E-13
   704    0.17441E+04   -0.96946E+02    0.14401E-07   -0.96946E+02    0.35505E+02   -0.16471E-08    0.14401E-07   -0.16471E-08    0.20215E-13
   705    0.17491E+04   -0.98294E+02    0.14432E-07   -0.98294E+02    0.35416E+02   -0.16416E-08    0.14432E-07   -0.16416E-08    0.20109E-13
   706    0.17543E+04   -0.99628E+02    0.14462E-07   -0.99628E+02    0.35323E+02   -0.16359E-08    0.14462E-07   -0.16359E-08    0.20004E-13
   707    0.17597E+04   -0.10094E+03    0.14492E-07   -0.10094E+03    0.35224E+02   -0.16301E-08    0.14492E-07   -0.16301E-08    0.19899E-13
   708    0.17653E+04   -0.10222E+03    0.14520E-07   -0.10222E+03    0.35119E+02   -0.16241E-08    0.14520E-07   -0.16241E-08    0.19795E-13
   709    0.17709E+04   -0.10349E+03    0.14548E-07   -0.10349E+03    0.35009E+02   -0.16179E-08    0.14548E-07   -0.16179E-08    0.19691E-13
   710    0.17767E+04   -0.10474E+03    0.14575E-07   -0.10474E+03    0.34894E+02   -0.16116E-08    0.14575E-07   -0.16116E-08    0.19588E-13
   711    0.17826E+04   -0.10595E+03    0.14601E-07   -0.10595E+03    0.34773E+02   -0.16052E-08    0.14601E-07   -0.16052E-08    0.19486E-13
   712    0.17886E+04   -0.10716E+03    0.14626E-07   -0.10716E+03    0.34647E+02   -0.15986E-08    0.14626E-07   -0.15986E-08    0.19385E-13
   713    0.17949E+04   -0.10833E+03    0.14650E-07   -0.10833E+03    0.34516E+02   -0.15919E-08    0.14650E-07   -0.15919E-08    0.19284E-13
   714    0.18011E+04   -0.10947E+03    0.14673E-07   -0.10947E+03    0.34380E+02   -0.15850E-08    0.14673E-07   -0.15850E-08    0.19184E-13
   715    0.18075E+04   -0.11060E+03    0.14695E-07   -0.11060E+03    0.34239E+02   -0.15779E-08    0.14695E-07   -0.15779E-08    0.19084E-13
   716    0.18140E+04   -0.11170E+03    0.14716E-07   -0.11170E+03    0.34093E+02   -0.15708E-08    0.14716E-07   -0.15708E-08    0.18985E-13
