#    L    TT             EE             BB             TE          
   303    0.37423E+04    0.90374E+01    0.27012E-01    0.11225E+03
   304    0.37104E+04    0.92077E+01    0.27139E-01    0.11245E+03
   305    0.36784E+04    0.93779E+01    0.27266E-01    0.11263E+03
   306    0.36465E+04    0.95488E+01    0.27391E-01    0.11277E+03
   307    0.36145E+04    0.97204E+01    0.27516E-01    0.11287E+03
   308    0.35825E+04    0.98942E+01    0.27641E-01    0.11295E+03
   309    0.35506E+04    0.10067E+02    0.27765E-01    0.11298E+03
   310    0.35186E+04    0.10240E+02    0.27888E-01    0.11299E+03
   311    0.34867E+04    0.10415E+02    0.28010E-01    0.11295E+03
   312    0.34549E+04    0.10590E+02    0.28132E-01    0.11288E+03
   313    0.34230E+04    0.10765E+02    0.28253E-01    0.11277E+03
   314    0.33913E+04    0.10941E+02    0.28373E-01    0.11263E+03
   315    0.33596E+04    0.11116E+02    0.28493E-01    0.11245E+03
   316    0.33280E+04    0.11291E+02    0.28612E-01    0.11223E+03
   317    0.32965E+04    0.11466E+02    0.28731E-01    0.11198E+03
   318    0.32650E+04    0.11643E+02    0.28848E-01    0.11169E+03
   319    0.32337E+04    0.11819E+02    0.28965E-01    0.11137E+03
   320    0.32025E+04    0.11994E+02    0.29082E-01    0.11102E+03
   321    0.31714E+04    0.12171E+02    0.29198E-01    0.11063E+03
   322    0.31404E+04    0.12346E+02    0.29313E-01    0.11020E+03
   323    0.31096E+04    0.12521E+02    0.29427E-01    0.10973E+03
   324    0.30789E+04    0.12697E+02    0.29541E-01    0.10923E+03
   325    0.30484E+04    0.12869E+02    0.29654E-01    0.10870E+03
   326    0.30180E+04    0.13044E+02    0.29767E-01    0.10812E+03
   327    0.29879E+04    0.13217E+02    0.29879E-01    0.10752E+03
   328    0.29579E+04    0.13390E+02    0.29991E-01    0.10689E+03
   329    0.29281E+04    0.13562E+02    0.30101E-01    0.10621E+03
   330    0.28985E+04    0.13733E+02    0.30212E-01    0.10550E+03
   331    0.28691E+04    0.13903E+02    0.30321E-01    0.10476E+03
   332    0.28399E+04    0.14073E+02    0.30430E-01    0.10399E+03
   333    0.28110E+04    0.14241E+02    0.30539E-01    0.10319E+03
   334    0.27823E+04    0.14409E+02    0.30647E-01    0.10235E+03
   335    0.27537E+04    0.14575E+02    0.30755E-01    0.10148E+03
   336    0.27254E+04    0.14740E+02    0.30862E-01    0.10058E+03
   337    0.26975E+04    0.14905E+02    0.30968E-01    0.99636E+02
   338    0.26697E+04    0.15067E+02    0.31074E-01    0.98671E+02
   339    0.26423E+04    0.15230E+02    0.31180E-01    0.97671E+02
   340    0.26151E+04    0.15390E+02    0.31285E-01    0.96649E+02
   341    0.25880E+04    0.15548E+02    0.31390E-01    0.95585E+02
   342    0.25614E+04    0.15706E+02    0.31494E-01    0.94493E+02
   343    0.25350E+04    0.15862E+02    0.31598E-01    0.93373E+02
   344    0.25090E+04    0.16016E+02    0.31702E-01    0.92225E+02
   345    0.24832E+04    0.16168E+02    0.31805E-01    0.91048E+02
   346    0.24578E+04    0.16319E+02    0.31908E-01    0.89850E+02
   347    0.24326E+04    0.16467E+02    0.32010E-01    0.88617E+02
