#           k/h    P           
    0.55557E-01    0.23751E+05
    0.56680E-01    0.23528E+05
    0.57825E-01    0.23308E+05
    0.58993E-01    0.23087E+05
    0.60184E-01    0.22862E+05
    0.61400E-01    0.22629E+05
    0.62641E-01    0.22383E+05
    0.63906E-01    0.22119E+05
    0.65197E-01    0.21831E+05
    0.66514E-01    0.21515E+05
    0.67858E-01    0.21171E+05
    0.69229E-01    0.20804E+05
    0.70627E-01    0.20417E+05
    0.72054E-01    0.20007E+05
    0.73510E-01    0.19564E+05
    0.74994E-01    0.19081E+05
    0.76509E-01    0.18564E+05
    0.78055E-01    0.18026E+05
    0.79632E-01    0.17474E+05
    0.81241E-01    0.16914E+05
    0.82882E-01    0.16350E+05
    0.84556E-01    0.15786E+05
    0.86264E-01    0.15231E+05
    0.88007E-01    0.14689E+05
    0.89785E-01    0.14167E+05
    0.91598E-01    0.13672E+05
    0.93449E-01    0.13208E+05
    0.95337E-01    0.12781E+05
    0.97263E-01    0.12395E+05
    0.99227E-01    0.12053E+05
    0.10123E+00    0.11754E+05
    0.10328E+00    0.11498E+05
    0.10536E+00    0.11280E+05
    0.10749E+00    0.11095E+05
    0.10966E+00    0.10936E+05
    0.11188E+00    0.10795E+05
    0.11414E+00    0.10662E+05
    0.11644E+00    0.10529E+05
    0.11880E+00    0.10387E+05
    0.12120E+00    0.10228E+05
    0.12365E+00    0.10045E+05
    0.12614E+00    0.98330E+04
    0.12869E+00    0.95895E+04
    0.13129E+00    0.93146E+04
    0.13394E+00    0.90106E+04
    0.13665E+00    0.86828E+04
    0.13941E+00    0.83384E+04
    0.14223E+00    0.79868E+04
    0.14510E+00    0.76385E+04
    0.14803E+00    0.73050E+04
    0.15102E+00    0.69964E+04
    0.15407E+00    0.67213E+04
    0.15718E+00    0.64843E+04
    0.16036E+00    0.62860E+04
    0.16360E+00    0.61230E+04
    0.16690E+00    0.59896E+04
    0.17028E+00    0.58780E+04
    0.17371E+00    0.57795E+04
    0.17722E+00    0.56841E+04
    0.18080E+00    0.55810E+04
    0.18446E+00    0.54605E+04
    0.18818E+00    0.53162E+04
    0.19198E+00    0.51467E+04
    0.19586E+00    0.49565E+04
    0.19982E+00    0.47532E+04
    0.20386E+00    0.45460E+04
    0.20797E+00    0.43442E+04
    0.21218E+00    0.41569E+04
    0.21646E+00    0.39914E+04
    0.22083E+00    0.38514E+04
    0.22530E+00    0.37360E+04
    0.22985E+00    0.36405E+04
    0.23449E+00    0.35571E+04
    0.23923E+00    0.34771E+04
    0.24406E+00    0.33916E+04
    0.24899E+00    0.32946E+04
    0.25402E+00    0.31840E+04
    0.25915E+00    0.30626E+04
    0.26439E+00    0.29360E+04
    0.26973E+00    0.28113E+04
    0.27518E+00    0.26952E+04
    0.28074E+00    0.25926E+04
    0.28641E+00    0.25047E+04
    0.29219E+00    0.24288E+04
    0.29810E+00    0.23600E+04
    0.30412E+00    0.22925E+04
    0.31026E+00    0.22214E+04
    0.31653E+00    0.21443E+04
    0.32292E+00    0.20626E+04
    0.32945E+00    0.19799E+04
    0.33610E+00    0.19006E+04
    0.34289E+00    0.18280E+04
    0.34982E+00    0.17631E+04
    0.35689E+00    0.17046E+04
    0.36409E+00    0.16494E+04
    0.37145E+00    0.15945E+04
    0.37895E+00    0.15378E+04
    0.38661E+00    0.14796E+04
    0.39442E+00    0.14221E+04
    0.40239E+00    0.13672E+04
    0.41052E+00    0.13163E+04
    0.41881E+00    0.12693E+04
    0.42727E+00    0.12247E+04
    0.43590E+00    0.11811E+04
    0.44471E+00    0.11375E+04
    0.45369E+00    0.10942E+04
    0.46286E+00    0.10522E+04
    0.47221E+00    0.10124E+04
    0.48174E+00    0.97482E+03
    0.49148E+00    0.93905E+03
    0.50141E+00    0.90425E+03
    0.51153E+00    0.87009E+03
    0.52187E+00    0.83682E+03
    0.53241E+00    0.80480E+03
    0.54317E+00    0.77430E+03
    0.55414E+00    0.74510E+03
    0.56533E+00    0.71693E+03
    0.57675E+00    0.68952E+03
    0.58840E+00    0.66299E+03
    0.60029E+00    0.63749E+03
    0.61242E+00    0.61302E+03
    0.62479E+00    0.58950E+03
    0.63741E+00    0.56684E+03
    0.65029E+00    0.54500E+03
    0.66342E+00    0.52395E+03
    0.67683E+00    0.50366E+03
    0.69050E+00    0.48412E+03
    0.70445E+00    0.46529E+03
    0.71868E+00    0.44716E+03
    0.73320E+00    0.42970E+03
    0.74801E+00    0.41288E+03
    0.76312E+00    0.39670E+03
    0.77854E+00    0.38112E+03
    0.79426E+00    0.36612E+03
    0.81031E+00    0.35169E+03
    0.82668E+00    0.33781E+03
    0.84338E+00    0.32445E+03
    0.86041E+00    0.31160E+03
    0.87780E+00    0.29924E+03
    0.89553E+00    0.28735E+03
    0.91362E+00    0.27592E+03
    0.93208E+00    0.26493E+03
    0.95091E+00    0.25437E+03
    0.97011E+00    0.24421E+03
    0.98971E+00    0.23444E+03
    0.10097E+01    0.22504E+03
    0.10301E+01    0.21601E+03
    0.10509E+01    0.20733E+03
    0.10721E+01    0.19899E+03
    0.10938E+01    0.19097E+03
    0.11159E+01    0.18326E+03
    0.11384E+01    0.17585E+03
    0.11614E+01    0.16872E+03
    0.11849E+01    0.16188E+03
    0.12088E+01    0.15530E+03
    0.12333E+01    0.14898E+03
    0.12582E+01    0.14290E+03
    0.12836E+01    0.13707E+03
    0.13095E+01    0.13146E+03
    0.13360E+01    0.12607E+03
    0.13630E+01    0.12089E+03
    0.13905E+01    0.11591E+03
    0.14186E+01    0.11112E+03
    0.14472E+01    0.10652E+03
    0.14765E+01    0.10210E+03
    0.15063E+01    0.97854E+02
    0.15367E+01    0.93772E+02
    0.15678E+01    0.89848E+02
    0.15994E+01    0.86078E+02
    0.16318E+01    0.82454E+02
    0.16647E+01    0.78972E+02
    0.16984E+01    0.75626E+02
    0.17327E+01    0.72411E+02
    0.17677E+01    0.69323E+02
    0.18034E+01    0.66357E+02
    0.18398E+01    0.63510E+02
    0.18770E+01    0.60778E+02
    0.19149E+01    0.58157E+02
    0.19536E+01    0.55644E+02
    0.19930E+01    0.53234E+02
    0.20333E+01    0.50924E+02
    0.20744E+01    0.48711E+02
    0.21163E+01    0.46591E+02
    0.21590E+01    0.44561E+02
    0.22026E+01    0.42618E+02
    0.22471E+01    0.40758E+02
    0.22925E+01    0.38977E+02
    0.23388E+01    0.37274E+02
    0.23861E+01    0.35645E+02
