#    L    TT             EE             BB             TE          
   234    0.54917E+04    0.14832E+01    0.25492E-01    0.40920E+02
   235    0.54814E+04    0.15366E+01    0.25714E-01    0.42571E+02
   236    0.54705E+04    0.15919E+01    0.25937E-01    0.44222E+02
   237    0.54589E+04    0.16493E+01    0.26159E-01    0.45871E+02
   238    0.54468E+04    0.17089E+01    0.26382E-01    0.47517E+02
   239    0.54341E+04    0.17704E+01    0.26604E-01    0.49160E+02
   240    0.54207E+04    0.18339E+01    0.26827E-01    0.50798E+02
   241    0.54069E+04    0.18996E+01    0.27050E-01    0.52432E+02
   242    0.53924E+04    0.19674E+01    0.27272E-01    0.54060E+02
   243    0.53774E+04    0.20373E+01    0.27495E-01    0.55682E+02
   244    0.53618E+04    0.21093E+01    0.27718E-01    0.57297E+02
   245    0.53457E+04    0.21835E+01    0.27941E-01    0.58904E+02
   246    0.53290E+04    0.22599E+01    0.28163E-01    0.60503E+02
   247    0.53118E+04    0.23384E+01    0.28386E-01    0.62092E+02
   248    0.52940E+04    0.24193E+01    0.28608E-01    0.63671E+02
   249    0.52758E+04    0.25022E+01    0.28830E-01    0.65240E+02
   250    0.52570E+04    0.25875E+01    0.29052E-01    0.66796E+02
   251    0.52377E+04    0.26749E+01    0.29273E-01    0.68341E+02
   252    0.52178E+04    0.27646E+01    0.29495E-01    0.69873E+02
   253    0.51977E+04    0.28564E+01    0.29716E-01    0.71391E+02
   254    0.51769E+04    0.29505E+01    0.29937E-01    0.72895E+02
   255    0.51556E+04    0.30467E+01    0.30157E-01    0.74385E+02
   256    0.51340E+04    0.31454E+01    0.30377E-01    0.75860E+02
   257    0.51118E+04    0.32460E+01    0.30597E-01    0.77313E+02
   258    0.50892E+04    0.33490E+01    0.30816E-01    0.78756E+02
   259    0.50662E+04    0.34542E+01    0.31035E-01    0.80175E+02
   260    0.50428E+04    0.35615E+01    0.31253E-01    0.81584E+02
   261    0.50189E+04    0.36710E+01    0.31471E-01    0.82961E+02
   262    0.49945E+04    0.37829E+01    0.31688E-01    0.84329E+02
   263    0.49699E+04    0.38968E+01    0.31904E-01    0.85680E+02
   264    0.49448E+04    0.40129E+01    0.32121E-01    0.87007E+02
   265    0.49192E+04    0.41311E+01    0.32336E-01    0.88302E+02
   266    0.48933E+04    0.42516E+01    0.32551E-01    0.89587E+02
   267    0.48670E+04    0.43740E+01    0.32765E-01    0.90841E+02
   268    0.48402E+04    0.44988E+01    0.32979E-01    0.92078E+02
   269    0.48130E+04    0.46256E+01    0.33192E-01    0.93291E+02
   270    0.47856E+04    0.47544E+01    0.33404E-01    0.94480E+02
   271    0.47577E+04    0.48852E+01    0.33616E-01    0.95645E+02
   272    0.47297E+04    0.50183E+01    0.33826E-01    0.96779E+02
   273    0.47013E+04    0.51531E+01    0.34037E-01    0.97896E+02
   274    0.46725E+04    0.52901E+01    0.34246E-01    0.98974E+02
   275    0.46435E+04    0.54290E+01    0.34454E-01    0.10004E+03
   276    0.46142E+04    0.55697E+01    0.34662E-01    0.10106E+03
   277    0.45845E+04    0.57125E+01    0.34869E-01    0.10206E+03
   278    0.45546E+04    0.58571E+01    0.35075E-01    0.10303E+03
   279    0.45245E+04    0.60035E+01    0.35281E-01    0.10397E+03
   280    0.44941E+04    0.61518E+01    0.35485E-01    0.10489E+03
   281    0.44635E+04    0.63019E+01    0.35689E-01    0.10577E+03
   282    0.44326E+04    0.64535E+01    0.35892E-01    0.10662E+03
   283    0.44015E+04    0.66070E+01    0.36094E-01    0.10744E+03
   284    0.43703E+04    0.67622E+01    0.36295E-01    0.10823E+03
   285    0.43388E+04    0.69190E+01    0.36496E-01    0.10899E+03
   286    0.43071E+04    0.70774E+01    0.36695E-01    0.10971E+03
   287    0.42752E+04    0.72374E+01    0.36894E-01    0.11040E+03
   288    0.42432E+04    0.73989E+01    0.37091E-01    0.11106E+03
   289    0.42110E+04    0.75619E+01    0.37288E-01    0.11169E+03
   290    0.41787E+04    0.77261E+01    0.37484E-01    0.11229E+03
   291    0.41463E+04    0.78925E+01    0.37679E-01    0.11284E+03
   292    0.41135E+04    0.80597E+01    0.37873E-01    0.11336E+03
   293    0.40808E+04    0.82275E+01    0.38066E-01    0.11385E+03
   294    0.40479E+04    0.83974E+01    0.38258E-01    0.11431E+03
   295    0.40151E+04    0.85678E+01    0.38449E-01    0.11472E+03
   296    0.39821E+04    0.87402E+01    0.38640E-01    0.11510E+03
   297    0.39490E+04    0.89124E+01    0.38829E-01    0.11545E+03
   298    0.39157E+04    0.90866E+01    0.39018E-01    0.11576E+03
   299    0.38825E+04    0.92621E+01    0.39205E-01    0.11603E+03
   300    0.38492E+04    0.94374E+01    0.39392E-01    0.11626E+03
   301    0.38158E+04    0.96139E+01    0.39578E-01    0.11646E+03
   302    0.37825E+04    0.97910E+01    0.39762E-01    0.11663E+03
   303    0.37491E+04    0.99693E+01    0.39946E-01    0.11676E+03
   304    0.37157E+04    0.10149E+02    0.40129E-01    0.11684E+03
   305    0.36823E+04    0.10328E+02    0.40311E-01    0.11689E+03
   306    0.36489E+04    0.10508E+02    0.40492E-01    0.11691E+03
   307    0.36156E+04    0.10688E+02    0.40672E-01    0.11688E+03
   308    0.35823E+04    0.10871E+02    0.40851E-01    0.11682E+03
   309    0.35491E+04    0.11052E+02    0.41029E-01    0.11672E+03
   310    0.35158E+04    0.11233E+02    0.41206E-01    0.11658E+03
   311    0.34827E+04    0.11416E+02    0.41383E-01    0.11640E+03
   312    0.34497E+04    0.11599E+02    0.41558E-01    0.11619E+03
   313    0.34167E+04    0.11781E+02    0.41733E-01    0.11594E+03
   314    0.33838E+04    0.11964E+02    0.41906E-01    0.11565E+03
   315    0.33511E+04    0.12147E+02    0.42079E-01    0.11533E+03
   316    0.33184E+04    0.12329E+02    0.42250E-01    0.11496E+03
   317    0.32859E+04    0.12511E+02    0.42421E-01    0.11456E+03
   318    0.32534E+04    0.12694E+02    0.42591E-01    0.11412E+03
   319    0.32212E+04    0.12876E+02    0.42760E-01    0.11365E+03
   320    0.31891E+04    0.13058E+02    0.42928E-01    0.11315E+03
   321    0.31571E+04    0.13240E+02    0.43096E-01    0.11260E+03
   322    0.31254E+04    0.13420E+02    0.43262E-01    0.11202E+03
   323    0.30938E+04    0.13600E+02    0.43428E-01    0.11140E+03
   324    0.30623E+04    0.13781E+02    0.43592E-01    0.11074E+03
   325    0.30312E+04    0.13959E+02    0.43756E-01    0.11005E+03
   326    0.30001E+04    0.14137E+02    0.43919E-01    0.10932E+03
   327    0.29693E+04    0.14315E+02    0.44082E-01    0.10855E+03
   328    0.29388E+04    0.14491E+02    0.44243E-01    0.10776E+03
   329    0.29084E+04    0.14667E+02    0.44404E-01    0.10692E+03
   330    0.28783E+04    0.14841E+02    0.44564E-01    0.10605E+03
   331    0.28485E+04    0.15014E+02    0.44723E-01    0.10515E+03
   332    0.28189E+04    0.15186E+02    0.44882E-01    0.10423E+03
   333    0.27895E+04    0.15357E+02    0.45040E-01    0.10326E+03
   334    0.27605E+04    0.15527E+02    0.45197E-01    0.10226E+03
   335    0.27316E+04    0.15695E+02    0.45354E-01    0.10123E+03
   336    0.27030E+04    0.15861E+02    0.45510E-01    0.10017E+03
   337    0.26748E+04    0.16027E+02    0.45665E-01    0.99060E+02
   338    0.26469E+04    0.16190E+02    0.45820E-01    0.97934E+02
   339    0.26193E+04    0.16353E+02    0.45974E-01    0.96773E+02
   340    0.25920E+04    0.16513E+02    0.46128E-01    0.95591E+02
   341    0.25649E+04    0.16671E+02    0.46281E-01    0.94367E+02
   342    0.25382E+04    0.16828E+02    0.46434E-01    0.93115E+02
   343    0.25118E+04    0.16982E+02    0.46586E-01    0.91836E+02
   344    0.24859E+04    0.17135E+02    0.46738E-01    0.90529E+02
   345    0.24601E+04    0.17285E+02    0.46889E-01    0.89194E+02
   346    0.24348E+04    0.17434E+02    0.47041E-01    0.87840E+02
   347    0.24098E+04    0.17580E+02    0.47191E-01    0.86451E+02
   348    0.23852E+04    0.17723E+02    0.47342E-01    0.85034E+02
   349    0.23609E+04    0.17865E+02    0.47492E-01    0.83590E+02
   350    0.23370E+04    0.18003E+02    0.47642E-01    0.82126E+02
   351    0.23136E+04    0.18140E+02    0.47792E-01    0.80636E+02
   352    0.22904E+04    0.18274E+02    0.47941E-01    0.79118E+02
   353    0.22676E+04    0.18405E+02    0.48090E-01    0.77588E+02
   354    0.22452E+04    0.18533E+02    0.48240E-01    0.76023E+02
   355    0.22232E+04    0.18659E+02    0.48389E-01    0.74439E+02
   356    0.22017E+04    0.18783E+02    0.48538E-01    0.72842E+02
   357    0.21805E+04    0.18903E+02    0.48687E-01    0.71219E+02
   358    0.21597E+04    0.19020E+02    0.48836E-01    0.69583E+02
   359    0.21393E+04    0.19134E+02    0.48985E-01    0.67921E+02
   360    0.21193E+04    0.19245E+02    0.49134E-01    0.66243E+02
   361    0.20998E+04    0.19354E+02    0.49283E-01    0.64544E+02
   362    0.20806E+04    0.19459E+02    0.49433E-01    0.62829E+02
   363    0.20619E+04    0.19562E+02    0.49582E-01    0.61098E+02
   364    0.20436E+04    0.19660E+02    0.49732E-01    0.59349E+02
   365    0.20257E+04    0.19756E+02    0.49881E-01    0.57587E+02
   366    0.20082E+04    0.19849E+02    0.50031E-01    0.55809E+02
   367    0.19912E+04    0.19937E+02    0.50182E-01    0.54018E+02
   368    0.19745E+04    0.20023E+02    0.50332E-01    0.52215E+02
   369    0.19584E+04    0.20106E+02    0.50483E-01    0.50398E+02
   370    0.19427E+04    0.20185E+02    0.50634E-01    0.48572E+02
   371    0.19273E+04    0.20260E+02    0.50786E-01    0.46733E+02
   372    0.19124E+04    0.20332E+02    0.50938E-01    0.44887E+02
   373    0.18980E+04    0.20400E+02    0.51090E-01    0.43029E+02
   374    0.18839E+04    0.20465E+02    0.51243E-01    0.41164E+02
   375    0.18703E+04    0.20527E+02    0.51397E-01    0.39291E+02
   376    0.18572E+04    0.20585E+02    0.51550E-01    0.37412E+02
   377    0.18445E+04    0.20639E+02    0.51705E-01    0.35528E+02
   378    0.18322E+04    0.20689E+02    0.51860E-01    0.33637E+02
   379    0.18204E+04    0.20736E+02    0.52015E-01    0.31743E+02
   380    0.18090E+04    0.20781E+02    0.52171E-01    0.29844E+02
   381    0.17980E+04    0.20818E+02    0.52328E-01    0.27942E+02
   382    0.17874E+04    0.20854E+02    0.52485E-01    0.26040E+02
   383    0.17773E+04    0.20885E+02    0.52643E-01    0.24135E+02
   384    0.17678E+04    0.20912E+02    0.52802E-01    0.22231E+02
   385    0.17585E+04    0.20937E+02    0.52961E-01    0.20326E+02
   386    0.17497E+04    0.20958E+02    0.53121E-01    0.18424E+02
   387    0.17413E+04    0.20974E+02    0.53282E-01    0.16523E+02
   388    0.17333E+04    0.20986E+02    0.53443E-01    0.14625E+02
   389    0.17258E+04    0.20992E+02    0.53605E-01    0.12730E+02
   390    0.17187E+04    0.20998E+02    0.53769E-01    0.10841E+02
   391    0.17120E+04    0.20998E+02    0.53933E-01    0.89564E+01
   392    0.17057E+04    0.20997E+02    0.54097E-01    0.70784E+01
   393    0.16999E+04    0.20990E+02    0.54263E-01    0.52068E+01
   394    0.16945E+04    0.20980E+02    0.54429E-01    0.33437E+01
   395    0.16894E+04    0.20965E+02    0.54597E-01    0.14877E+01
