#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.477017E-03   0.200117E+08   0.200104E+08   0.790786E+07   0.754726E+07   0.199211E+08   0.200110E+08   0.200114E+08   0.200131E+08  -0.471171E+00   0.101281E+08   0.101278E+08   0.223921E+03
   0.526645E-03   0.200169E+08   0.200154E+08   0.604764E+07   0.569734E+07   0.199065E+08   0.200161E+08   0.200167E+08   0.200177E+08  -0.471480E+00   0.101574E+08   0.101570E+08   0.233263E+03
   0.581435E-03   0.200234E+08   0.200217E+08   0.439850E+07   0.407759E+07   0.198890E+08   0.200225E+08   0.200231E+08   0.200236E+08  -0.471856E+00   0.101919E+08   0.101915E+08   0.240521E+03
   0.641926E-03   0.200315E+08   0.200295E+08   0.306162E+07   0.278952E+07   0.198681E+08   0.200304E+08   0.200312E+08   0.200312E+08  -0.472312E+00   0.102326E+08   0.102321E+08   0.245196E+03
   0.708710E-03   0.200415E+08   0.200392E+08   0.210194E+07   0.189412E+07   0.198432E+08   0.200402E+08   0.200411E+08   0.200407E+08  -0.472859E+00   0.102799E+08   0.102794E+08   0.246876E+03
   0.782442E-03   0.200539E+08   0.200512E+08   0.151793E+07   0.138065E+07   0.198136E+08   0.200523E+08   0.200534E+08   0.200527E+08  -0.473510E+00   0.103347E+08   0.103342E+08   0.245306E+03
   0.863845E-03   0.200689E+08   0.200660E+08   0.122483E+07   0.115097E+07   0.197786E+08   0.200671E+08   0.200684E+08   0.200674E+08  -0.474275E+00   0.103974E+08   0.103968E+08   0.240433E+03
   0.953717E-03   0.200872E+08   0.200840E+08   0.107280E+07   0.104157E+07   0.197372E+08   0.200850E+08   0.200867E+08   0.200853E+08  -0.475160E+00   0.104683E+08   0.104676E+08   0.232413E+03
   0.105294E-02   0.201091E+08   0.201056E+08   0.911748E+06   0.895178E+06   0.196882E+08   0.201065E+08   0.201085E+08   0.201067E+08  -0.476167E+00   0.105473E+08   0.105466E+08   0.221570E+03
   0.116248E-02   0.201348E+08   0.201310E+08   0.679533E+06   0.654654E+06   0.196303E+08   0.201318E+08   0.201342E+08   0.201320E+08  -0.477292E+00   0.106339E+08   0.106332E+08   0.208326E+03
   0.128342E-02   0.201644E+08   0.201605E+08   0.441591E+06   0.401429E+06   0.195623E+08   0.201609E+08   0.201638E+08   0.201611E+08  -0.478525E+00   0.107274E+08   0.107266E+08   0.193167E+03
   0.141695E-02   0.201979E+08   0.201938E+08   0.308974E+06   0.262590E+06   0.194831E+08   0.201938E+08   0.201972E+08   0.201939E+08  -0.479846E+00   0.108264E+08   0.108256E+08   0.176676E+03
   0.156436E-02   0.202345E+08   0.202303E+08   0.283471E+06  -0.362337E+06   0.193909E+08   0.202298E+08   0.202338E+08   0.202298E+08  -0.481228E+00   0.109294E+08   0.109286E+08   0.159606E+03
   0.172711E-02   0.202732E+08   0.202690E+08   0.240872E+06  -0.269047E+06   0.192841E+08   0.202678E+08   0.202725E+08   0.202678E+08  -0.482639E+00   0.110344E+08   0.110336E+08   0.142846E+03
   0.190680E-02   0.203125E+08   0.203084E+08   0.139933E+06  -0.198976E+06   0.191610E+08   0.203064E+08   0.203118E+08   0.203064E+08  -0.484034E+00   0.111395E+08   0.111388E+08   0.127221E+03
