#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    63    0.16700E+04   -0.32414E+01   -0.72352E-05   -0.32414E+01    0.23753E+00   -0.13884E-07   -0.72352E-05   -0.13884E-07    0.41964E-10
    64    0.16930E+04   -0.36074E+01   -0.71328E-05   -0.36074E+01    0.24875E+00   -0.13106E-07   -0.71328E-05   -0.13106E-07    0.40460E-10
    65    0.17161E+04   -0.39889E+01   -0.70321E-05   -0.39889E+01    0.26023E+00   -0.12631E-07   -0.70321E-05   -0.12631E-07    0.39027E-10
    66    0.17395E+04   -0.43842E+01   -0.69319E-05   -0.43842E+01    0.27191E+00   -0.12547E-07   -0.69319E-05   -0.12547E-07    0.37660E-10
    67    0.17631E+04   -0.47905E+01   -0.68316E-05   -0.47905E+01    0.28380E+00   -0.12790E-07   -0.68316E-05   -0.12790E-07    0.36355E-10
    68    0.17870E+04   -0.52060E+01   -0.67301E-05   -0.52060E+01    0.29592E+00   -0.13262E-07   -0.67301E-05   -0.13262E-07    0.35109E-10
    69    0.18112E+04   -0.56290E+01   -0.66266E-05   -0.56290E+01    0.30825E+00   -0.13860E-07   -0.66266E-05   -0.13860E-07    0.33919E-10
    70    0.18357E+04   -0.60613E+01   -0.65203E-05   -0.60613E+01    0.32082E+00   -0.14486E-07   -0.65203E-05   -0.14486E-07    0.32782E-10
    71    0.18603E+04   -0.65051E+01   -0.64107E-05   -0.65051E+01    0.33363E+00   -0.15046E-07   -0.64107E-05   -0.15046E-07    0.31693E-10
    72    0.18850E+04   -0.69619E+01   -0.62988E-05   -0.69619E+01    0.34664E+00   -0.15469E-07   -0.62988E-05   -0.15469E-07    0.30652E-10
    73    0.19100E+04   -0.74325E+01   -0.61859E-05   -0.74325E+01    0.35983E+00   -0.15694E-07   -0.61859E-05   -0.15694E-07    0.29655E-10
    74    0.19351E+04   -0.79160E+01   -0.60734E-05   -0.79160E+01    0.37317E+00   -0.15656E-07   -0.60734E-05   -0.15656E-07    0.28700E-10
    75    0.19605E+04   -0.84111E+01   -0.59627E-05   -0.84111E+01    0.38667E+00   -0.15293E-07   -0.59627E-05   -0.15293E-07    0.27785E-10
    76    0.19862E+04   -0.89172E+01   -0.58548E-05   -0.89172E+01    0.40035E+00   -0.14580E-07   -0.58548E-05   -0.14580E-07    0.26907E-10
    77    0.20122E+04   -0.94340E+01   -0.57500E-05   -0.94340E+01    0.41418E+00   -0.13641E-07   -0.57500E-05   -0.13641E-07    0.26064E-10
    78    0.20386E+04   -0.99625E+01   -0.56481E-05   -0.99625E+01    0.42819E+00   -0.12639E-07   -0.56481E-05   -0.12639E-07    0.25256E-10
    79    0.20652E+04   -0.10499E+02   -0.55492E-05   -0.10499E+02    0.44234E+00   -0.11736E-07   -0.55492E-05   -0.11736E-07    0.24480E-10
    80    0.20920E+04   -0.11044E+02   -0.54532E-05   -0.11044E+02    0.45661E+00   -0.11094E-07   -0.54532E-05   -0.11094E-07    0.23734E-10
    81    0.21191E+04   -0.11599E+02   -0.53599E-05   -0.11599E+02    0.47097E+00   -0.10834E-07   -0.53599E-05   -0.10834E-07    0.23018E-10
    82    0.21464E+04   -0.12161E+02   -0.52689E-05   -0.12161E+02    0.48542E+00   -0.10907E-07   -0.52689E-05   -0.10907E-07    0.22329E-10
    83    0.21739E+04   -0.12732E+02   -0.51797E-05   -0.12732E+02    0.49995E+00   -0.11222E-07   -0.51797E-05   -0.11222E-07    0.21667E-10
    84    0.22017E+04   -0.13309E+02   -0.50917E-05   -0.13309E+02    0.51456E+00   -0.11688E-07   -0.50917E-05   -0.11688E-07    0.21031E-10
    85    0.22296E+04   -0.13893E+02   -0.50043E-05   -0.13893E+02    0.52921E+00   -0.12213E-07   -0.50043E-05   -0.12213E-07    0.20419E-10
    86    0.22576E+04   -0.14483E+02   -0.49173E-05   -0.14483E+02    0.54392E+00   -0.12719E-07   -0.49173E-05   -0.12719E-07    0.19829E-10
    87    0.22862E+04   -0.15079E+02   -0.48306E-05   -0.15079E+02    0.55866E+00   -0.13181E-07   -0.48306E-05   -0.13181E-07    0.19262E-10
    88    0.23146E+04   -0.15680E+02   -0.47446E-05   -0.15680E+02    0.57345E+00   -0.13584E-07   -0.47446E-05   -0.13584E-07    0.18716E-10
    89    0.23435E+04   -0.16289E+02   -0.46596E-05   -0.16289E+02    0.58825E+00   -0.13916E-07   -0.46596E-05   -0.13916E-07    0.18189E-10
    90    0.23725E+04   -0.16902E+02   -0.45758E-05   -0.16902E+02    0.60305E+00   -0.14164E-07   -0.45758E-05   -0.14164E-07    0.17680E-10
    91    0.24017E+04   -0.17520E+02   -0.44935E-05   -0.17520E+02    0.61783E+00   -0.14316E-07   -0.44935E-05   -0.14316E-07    0.17189E-10
    92    0.24312E+04   -0.18143E+02   -0.44127E-05   -0.18143E+02    0.63257E+00   -0.14377E-07   -0.44127E-05   -0.14377E-07    0.16715E-10
    93    0.24609E+04   -0.18770E+02   -0.43334E-05   -0.18770E+02    0.64728E+00   -0.14355E-07   -0.43334E-05   -0.14355E-07    0.16258E-10
    94    0.24907E+04   -0.19400E+02   -0.42556E-05   -0.19400E+02    0.66190E+00   -0.14257E-07   -0.42556E-05   -0.14257E-07    0.15816E-10
    95    0.25208E+04   -0.20034E+02   -0.41792E-05   -0.20034E+02    0.67645E+00   -0.14089E-07   -0.41792E-05   -0.14089E-07    0.15389E-10
    96    0.25509E+04   -0.20671E+02   -0.41042E-05   -0.20671E+02    0.69091E+00   -0.13859E-07   -0.41042E-05   -0.13859E-07    0.14978E-10
